refnis,pop_densit,Distance T,nb_poi_sco,score_pent,score_dens,score_tram,score_bus_score_bus,score_imat_score_imat
24028,"176.334685767536",2,2,5,2,1,"3","3"
63080,"77.3098057309753",1,2,3,1,1,"2","4"
91013,"54.1728293986622",3,2,2,1,1,"1","4"
51067,"364.170247090287",3,2,4,3,1,"2","3"
23050,"577.1797297011341",2,3,4,3,1,"3","3"
13019,"282.978990667564",3,3,4,2,1,"2","3"
83028,"100.345059336864",4,2,2,1,1,"2","4"
73098,"278.814736282225",2,2,4,2,1,"3","4"
73066,"290.235802723848",1,2,4,2,1,"3","3"
24054,"161.213017718565",1,2,4,2,1,"3","3"
92097,"91.85703932199411",2,2,4,1,1,"1","5"
53020,"493.10293903093594",2,4,4,3,1,"3","3"
21007,"9174.118001941819",4,4,3,5,5,"4","1"
13046,"997.4101310400171",3,2,4,4,1,"3","2"
71034,"726.061960207981",5,3,3,4,1,"3","3"
64025,"176.27679353283702",2,1,5,2,1,"1","5"
46014,"631.055679629338",4,4,5,4,1,"3","2"
41018,"433.752906368694",3,4,4,3,1,"3","2"
25031,"176.14894379920102",2,4,3,2,1,"2","5"
13021,"283.202317595526",2,3,4,2,1,"2","3"
63004,"52.7525333125592",2,2,3,1,1,"1","5"
61003,"524.6774448345809",4,2,2,3,1,"3","4"
57095,"140.069482416751",2,2,4,1,1,"2","4"
45059,"263.452398766831",2,2,4,2,1,"3","3"
44073,"226.29700568087202",1,1,4,2,3,"2","2"
38008,"416.44626635773994",5,3,5,3,3,"1","2"
34023,"1387.79939104158",3,2,5,5,1,"3","2"
24041,"199.163215617725",3,1,4,2,1,"2","2"
24038,"694.147574986297",4,3,4,4,1,"3","2"
23098,"2344.1637893802304",5,2,4,5,4,"4","2"
72039,"395.768943647948",1,3,4,3,1,"2","3"
11029,"3390.28949457311",5,4,4,5,4,"4","1"
91141,"161.682846479659",3,2,1,2,1,"2","4"
84033,"33.075447305706604",1,3,2,1,1,"2","4"
83044,"38.6960491637132",2,1,1,1,1,"2","4"
61080,"227.43366091709998",3,2,2,2,1,"3","4"
41024,"631.7697515287999",2,2,4,4,1,"3","2"
23096,"540.313776173798",3,3,4,3,1,"2","2"
23045,"528.044348278757",4,3,5,3,1,"2","2"
21010,"10348.9255166032",5,5,3,5,5,"4","1"
72004,"256.91343354562804",1,4,4,2,1,"2","4"
61010,"101.14650901669499",2,2,4,1,1,"2","5"
57081,"319.073974233711",4,5,4,3,1,"3","4"
57072,"220.62344487643298",2,2,5,2,1,"3","4"
44083,"350.94065804364897",2,5,5,3,1,"2","3"
44040,"779.727807192872",5,3,4,4,3,"3","2"
13037,"267.505326784409",2,2,4,2,1,"2","2"
13006,"357.23880960814597",2,2,4,3,1,"2","3"
92003,"326.488862199554",3,3,2,3,1,"3","4"
83055,"30.8121807947935",1,2,1,1,3,"2","5"
62027,"212.30217140312502",2,2,3,2,1,"3","5"
61043,"160.426573039844",2,2,3,2,1,"2","5"
56022,"225.465708591936",4,3,4,2,1,"3","4"
55035,"202.98403110898403",2,3,4,2,1,"2","5"
53053,"653.7412647199279",3,5,4,4,1,"3","5"
44021,"1699.4572679309902",5,5,4,5,4,"4","1"
33040,"151.03398924294999",2,1,5,2,1,"1","3"
23027,"934.7427636688981",5,4,3,4,1,"3","3"
13001,"241.949486227229",1,2,4,2,1,"1","4"
82009,"32.5589295565296",1,2,1,1,1,"1","5"
71020,"261.14629039740703",2,3,4,2,1,"3","3"
92087,"115.119859437668",1,2,3,1,1,"2","5"
57097,"298.925881836242",3,2,5,2,1,"2","4"
44012,"625.1464308221709",4,3,5,4,1,"3","2"
31033,"458.512020165527",5,3,5,3,1,"2","3"
25084,"188.37195313398",1,2,4,2,1,"2","4"
24045,"252.34360998512702",3,2,3,2,1,"3","2"
21019,"4751.29571390574",4,4,3,5,4,"4","3"
13023,"197.288596826728",2,2,4,2,1,"2","2"
91114,"75.8375960394632",2,3,2,1,3,"2","4"
85039,"55.1034381418964",3,2,3,1,1,"1","5"
85011,"39.4282967214223",1,2,1,1,1,"1","4"
84035,"38.2768721016482",1,2,2,1,1,"1","4"
84010,"36.3285190398677",1,2,1,1,1,"1","4"
63049,"128.469201486696",1,3,1,1,1,"2","4"
62060,"274.56367420544996",3,2,4,2,1,"3","5"
