refnis,pop_densit,Distance T,nb_poi_sco,score_pent,score_dens,score_tram,score_bus_score_bus,score_imat_score_imat
37018,"219.42819163914803",1,3,5,2,1,"1","3"
33041,"93.6083997971982",2,1,5,1,1,"1","2"
23104,"303.014705546882",2,3,4,3,1,"3","2"
23024,"234.44520238778003",2,2,4,2,1,"3","3"
13003,"319.341355576927",2,3,4,3,1,"2","3"
11024,"908.556349589996",3,4,4,4,1,"3","4"
92114,"235.123604434267",2,2,4,2,1,"2","4"
58002,"549.623851737949",4,4,4,3,1,"3","4"
53065,"1694.68058000969",3,3,4,5,1,"3","3"
73006,"429.64304867515904",4,3,4,3,1,"3","3"
24066,"329.302079015582",2,3,4,3,1,"3","4"
72037,"330.623870183595",3,2,4,3,1,"2","4"
85047,"76.20095155448871",3,1,2,1,1,"2","4"
52015,"702.954944179327",3,3,4,4,1,"3","4"
52011,"1979.4986938135298",4,5,3,5,4,"4","2"
51068,"122.78764230169",2,2,4,1,1,"2","4"
51008,"229.489159443797",3,2,4,2,1,"3","4"
42026,"515.583911712721",5,3,5,3,1,"3","2"
41082,"605.695103203698",3,3,4,4,1,"3","3"
38016,"345.303649537797",2,3,5,3,3,"1","3"
31022,"302.023033899003",3,3,4,3,1,"2","3"
31003,"222.73600060534",3,3,4,2,1,"2","3"
92048,"165.120442907589",2,2,3,2,1,"2","5"
57027,"331.09034327728597",2,2,5,3,1,"3","4"
34027,"1034.9323282048401",3,5,4,5,1,"3","2"
73009,"223.19844126236399",2,2,4,2,1,"2","3"
25091,"1316.33511802142",4,3,3,5,1,"4","4"
25068,"446.527658652703",3,2,3,3,1,"3","4"
24086,"370.239682170479",3,2,3,3,1,"2","2"
21005,"15612.7675755475",5,5,3,5,5,"4","1"
92140,"410.218441906128",4,3,3,3,1,"3","4"
63061,"152.707445043483",2,3,3,2,1,"2","4"
63045,"39.386736918657",2,2,1,1,1,"2","5"
53070,"335.26866871293197",2,4,4,3,1,"3","4"
53039,"257.340488840161",3,2,5,2,1,"2","4"
52010,"813.7882623566361",3,3,4,4,1,"3","4"
51019,"147.01822381535402",2,2,3,1,1,"1","5"
42025,"722.567126372582",4,4,5,4,1,"3","2"
37012,"179.73519623987698",2,3,5,2,1,"2","4"
25107,"231.476035526304",2,3,4,2,1,"3","4"
24134,"463.46322242879705",4,4,4,3,1,"3","3"
12035,"597.283699219269",3,3,4,3,1,"3","2"
83013,"42.2599913254206",2,2,1,1,3,"1","5"
82036,"45.2630961488886",1,3,3,1,1,"2","4"
62118,"674.52451143063",2,2,4,4,1,"3","4"
58001,"1260.61688904437",3,5,4,5,1,"4","3"
57096,"1466.22667968349",4,4,4,5,1,"3","3"
44085,"333.981328167201",2,4,5,3,1,"2","3"
25105,"856.137004379154",4,3,4,4,1,"3","3"
64075,"128.42773691087902",1,1,5,1,1,"2","4"
64056,"206.447003976964",2,1,4,2,1,"3","5"
64029,"150.78789109258798",2,1,4,2,1,"3","5"
11053,"242.074471296448",3,3,4,2,1,"1","3"
93090,"46.52830764913",3,2,1,1,1,"1","4"
91064,"50.7391875617226",1,2,3,1,1,"1","5"
84029,"29.578780196780702",2,1,1,1,1,"1","4"
63023,"209.195111651302",2,4,3,2,1,"2","4"
42003,"404.048637452829",3,3,5,3,1,"2","3"
37020,"267.421173542509",2,3,5,2,1,"2","3"
33039,"83.95409304107389",2,2,4,1,1,"1","4"
32011,"232.23160756065903",3,2,5,2,1,"2","3"
25122,"135.846924580078",1,1,4,1,1,"2","5"
25043,"144.288532240969",1,2,4,1,1,"2","5"
23081,"533.8495261270759",3,3,4,3,1,"3","3"
23025,"1018.0532483121301",2,4,4,5,1,"3","2"
13036,"244.14646429073898",2,2,4,2,1,"1","2"
13014,"211.06346783321598",1,3,4,2,1,"1","3"
13012,"398.891254289129",3,2,4,3,1,"2","3"
82032,"56.4459935117811",3,3,2,1,1,"2","4"
72041,"323.36571604583304",1,3,4,3,1,"2","4"
64015,"147.197082864375",1,1,4,1,1,"3","4"
24059,"305.508089088365",4,3,5,3,1,"3","2"
61063,"176.740463187896",2,1,4,2,1,"3","5"
57018,"84.22496238512291",1,2,5,1,1,"2","5"
45035,"471.306041682915",4,4,4,3,1,"3","3"
23047,"1434.1175397028999",4,3,4,5,1,"4","5"
73001,"419.297472910174",5,2,5,3,1,"3","4"
73032,"329.56491252827",3,2,4,3,1,"3","4"
11035,"448.994631206631",2,2,4,3,1,"2","3"
91120,"63.2016330235137",1,1,2,1,1,"1","5"
91072,"41.6450308141481",4,2,2,1,1,"1","5"
91015,"31.6848629916765",2,1,2,1,1,"1","4"
85034,"103.22587194552",1,2,2,1,1,"2","4"
84050,"49.571869827200096",1,1,2,1,1,"1","4"
61028,"145.405103695708",3,1,4,1,1,"2","4"
51014,"148.721526846758",2,2,5,1,1,"2","4"
45065,"245.58958591529597",2,2,4,2,1,"2","3"
41063,"393.97124194758",3,2,4,3,1,"3","3"
24014,"706.526186056264",5,3,4,4,1,"3","2"
23002,"700.7183682435419",2,3,4,4,1,"3","2"
62051,"1740.95403647595",3,4,4,5,1,"4","3"
57062,"178.01794261577598",2,2,5,2,1,"2","4"
33016,"298.63927267712",2,1,4,2,1,"2","2"
23101,"823.663452317736",3,3,3,4,1,"3","3"
21011,"19090.0437845041",5,3,3,5,5,"5","1"
63046,"229.186726761093",2,2,2,2,1,"3","4"
61024,"137.137349000285",3,1,1,1,1,"2","4"
52055,"312.80785143607403",4,2,4,3,1,"3","4"
51017,"132.31134035422102",2,3,4,1,1,"2","4"
46021,"963.655857920228",3,4,4,4,1,"3","2"
45060,"224.388445189809",2,1,3,2,1,"2","3"
41081,"481.661567252986",5,3,4,3,1,"3","2"
