refnis,km/j/pers,imat_communes_IMAT
57097,54,"9247"
44012,48,"5355"
31033,48,"10676"
25084,54,"5101"
24045,48,"5001"
21019,59,"17874"
13023,48,"4468"
91114,54,"6724"
85039,54,"2523"
85011,54,"3012"
84035,54,"2897"
84010,54,"2780"
63049,54,"6981"
62060,54,"5389"
62022,54,"11923"
56005,54,"4015"
44020,48,"6957"
44019,48,"18618"
35011,48,"9896"
31005,48,"57193"
24008,48,"3645"
21014,59,"31232"
21004,59,"141073"
21001,59,"34215"
13010,48,"6424"
12025,48,"34488"
12021,48,"17402"
11054,48,"7587"
71022,48,"43450"
56049,54,"2242"
64023,54,"1814"
84075,54,"1695"
83049,54,"1612"
83040,54,"2985"
61072,54,"7638"
61041,54,"2770"
55004,54,"11100"
53044,54,"5787"
44034,48,"11947"
36007,48,"6204"
25117,54,"3898"
25014,54,"20614"
24137,48,"3026"
23016,48,"20780"
13008,48,"22292"
73083,48,"22211"
72030,48,"9022"
71004,48,"25267"
63001,54,"3229"
62122,54,"4472"
57064,54,"9448"
52075,54,"5283"
43007,48,"3455"
21002,59,"12418"
73042,48,"15005"
64047,54,"1719"
64021,54,"2090"
93088,54,"10382"
92141,54,"5033"
92138,54,"4692"
91142,54,"3248"
84009,54,"4551"
63067,54,"5824"
45068,48,"10027"
45063,48,"3547"
42006,48,"22451"
36015,48,"35349"
25120,54,"4901"
25112,54,"19404"
25018,54,"6829"
23044,48,"6190"
13049,48,"13956"
13040,48,"21108"
12041,48,"13754"
71057,48,"11150"
11008,48,"19913"
63003,54,"2464"
44084,48,"15638"
34043,48,"1177"
25050,54,"4125"
23094,48,"138607"
71002,48,"4583"
11021,48,"3876"
93022,54,"5927"
92142,54,"13777"
91103,54,"1819"
85024,54,"1603"
84059,54,"2902"
63038,54,"5033"
63013,54,"3120"
52025,54,"7463"
41002,48,"42318"
37015,48,"10776"
35029,48,"6713"
35006,48,"7693"
34042,48,"13297"
33011,48,"18539"
25023,54,"5418"
24107,48,"16463"
24001,48,"16247"
13044,48,"4070"
12007,48,"13696"
72038,48,"7035"
71069,48,"6070"
92045,54,"4429"
57094,54,"7395"
24104,48,"10279"
21018,59,"23247"
11037,48,"7700"
85045,54,"6003"
42008,48,"12072"
38025,48,"6722"
38002,48,"2596"
37011,48,"3787"
33037,48,"6903"
31012,48,"8087"
23038,48,"6738"
72021,48,"14122"
63087,54,"2303"
62099,54,"9705"
56088,54,"2712"
52074,54,"5729"
46025,48,"15478"
44081,48,"8365"
24094,48,"8935"
73040,48,"4729"
11030,48,"5579"
92101,54,"6939"
84077,54,"6321"
84068,54,"1436"
63057,54,"2502"
62038,54,"8529"
55086,54,"11555"
