refnis,km/j/pers,imat_communes_IMAT,int_moy,total_Mkm
61019,54,2998,1,11.818116
57003,54,3806,2,30.006504
43018,48,6153,3,64.680336
25110,54,17349,5,341.94879
11023,48,14535,3,152.79192
11013,48,10004,4,140.216064
11005,48,7989,4,111.973824
93056,54,5147,2,40.578948
91059,54,3863,1,15.227946
62026,54,2757,2,21.736188
56044,54,3279,3,38.777454
44052,48,7153,2,50.128224
43010,48,13413,4,187.996608
34003,48,5223,2,36.602784
33021,48,10056,3,105.708672
23100,48,2680,3,28.17216
23032,48,3457,2,24.226656
23023,48,4621,2,32.383968
12029,48,9939,3,104.478768
83012,54,6194,2,48.833496
53068,54,3245,2,25.58358
46024,48,10146,2,71.103168
24033,48,7841,4,109.899456
24020,48,12555,4,175.97088
23105,48,6783,3,71.302896
63072,54,4925,3,58.24305
11044,48,9446,4,132.395136
92006,54,4024,1,15.862608
91143,54,1350,1,5.3217
85046,54,4587,2,36.163908
84016,54,727,1,2.865834
63020,54,6261,3,74.042586
51009,54,6477,3,76.597002
43002,48,7616,2,53.372928
23097,48,5881,2,41.214048
12026,48,11905,3,125.14536
82005,54,2093,1,8.250606
72018,48,7003,2,49.077024
71070,48,18466,3,194.114592
71037,48,8554,3,89.919648
11050,48,5906,4,82.778496
24055,48,45013,5,788.62776
62119,54,7929,3,93.768354
56078,54,8701,3,102.898026
31040,48,12535,4,175.69056
24028,48,3406,3,35.803872
63080,54,4064,2,32.040576
91013,54,4971,1,19.595682
51067,54,6600,2,52.0344
23050,48,10495,3,110.32344
13019,48,8693,3,91.380816
83028,54,2888,2,22.768992
73098,48,4235,3,44.51832
73066,48,9164,2,64.221312
24054,48,4386,2,30.737088
92097,54,2970,1,11.70774
53020,54,8098,3,95.766948
21007,59,16998,5,366.05193
13046,48,5774,3,60.696288
71034,48,8453,4,118.477248
64025,54,1979,1,7.801218
46014,48,20319,4,284.791104
41018,48,16629,3,174.804048
25031,54,9029,3,106.776954
13021,48,5394,2,37.801152
63004,54,2598,1,10.241316
61003,54,7573,3,89.558298
57095,54,2054,2,16.193736
45059,48,7712,2,54.045696
44073,48,3830,1,13.42032
38008,48,5403,4,75.728448
34023,48,7094,3,74.572128
24041,48,3437,1,12.043248
24038,48,10227,3,107.506224
23098,48,2697,5,47.25144
72039,48,16620,2,116.47296
11029,48,9936,5,174.07872
91141,54,4993,2,39.364812
84033,54,3042,1,11.991564
83044,54,1384,1,5.455728
61080,54,3393,3,40.125618
41024,48,9827,3,103.301424
23096,48,11302,3,118.806624
23045,48,9682,4,135.702912
21010,59,14408,5,310.27628
72004,48,9436,2,66.127488
61010,54,1858,2,14.648472
57081,54,34483,5,679.65993
57072,54,2795,2,22.03578
44083,48,22955,4,321.73728
44040,48,5772,5,101.12544
13037,48,6239,2,43.722912
13006,48,5222,3,54.893664
92003,54,14044,3,166.084344
83055,54,2123,2,16.737732
62027,54,4395,3,51.97527
61043,54,3574,2,28.177416
56022,54,5167,3,61.104942
55035,54,4816,2,37.969344
53053,54,54615,5,1076.46165
44021,48,108162,5,1894.99824
33040,48,4243,1,14.867472
23027,48,23125,4,324.12
13001,48,7450,1,26.1048
82009,54,1375,1,5.42025
71020,48,5230,3,54.97776
92087,54,7700,1,30.3534
57097,54,9247,2,72.903348
44012,48,5355,4,75.05568
31033,48,10676,4,149.634816
25084,54,5101,1,20.108142
24045,48,5001,2,35.047008
21019,59,17874,5,384.91659
13023,48,4468,2,31.311744
91114,54,6724,3,79.518024
85039,54,2523,2,19.891332
85011,54,3012,1,11.873304
84035,54,2897,1,11.419974
84010,54,2780,1,10.95876
63049,54,6981,1,27.519102
62060,54,5389,3,63.730314
62022,54,11923,4,188.001864
56005,54,4015,1,15.82713
44020,48,6957,4,97.509312
44019,48,18618,4,260.949888
35011,48,9896,2,69.351168
31005,48,57193,5,1002.02136
24008,48,3645,3,38.31624
21014,59,31232,5,672.58112
21004,59,141073,5,3038.007055
21001,59,34215,5,736.820025
