REFNIS;IMAT;REGION
61048;1579;3
61063;2680;3
61068;3976;3
61072;7638;3
61079;2501;3
61080;3393;3
61081;1792;3
62003;14085;3
62006;5425;3
62009;7045;3
62011;4876;3
62015;5773;3
62022;11923;3
62026;2757;3
62027;4395;3
62032;7242;3
62038;8529;3
62051;19245;3
62060;5389;3
62063;77911;3
62079;13437;3
62093;10505;3
62096;28717;3
62099;9705;3
62100;9016;3
62108;9342;3
62118;11892;3
62119;7929;3
62120;13554;3
62121;6074;3
62122;4472;3
63001;3229;3
63003;2464;3
63004;2598;3
63012;3109;3
63013;3120;3
63020;6261;3
63023;10795;3
63035;10556;3
63038;5033;3
63040;5635;3
63045;2018;3
63046;2884;3
63048;3528;3
63049;6981;3
63057;2502;3
63058;4812;3
63061;6026;3
63067;5824;3
63072;4925;3
63073;3859;3
63075;1871;3
63076;6935;3
63079;23981;3
63080;4064;3
63084;5492;3
63086;1480;3
63087;2303;3
63088;5752;3
63089;3680;3
64008;1801;3
64015;3537;3
64021;2090;3
64023;1814;3
64025;1979;3
64029;2055;3
64034;9272;3
64047;1719;3
64056;2253;3
64063;3317;3
64065;3986;3
64074;7717;3
64075;1699;3
64076;2318;3
81001;15856;3
81003;3013;3
81004;8882;3
81013;1060;3
81015;4581;3
82003;8957;3
82005;2093;3
82009;1375;3
82014;2838;3
82032;4184;3
82036;3299;3
82037;3012;3
82038;1401;3
83012;6194;3
83013;1990;3
83028;2888;3
83031;2169;3
83034;9554;3
83040;2985;3
83044;1384;3
83049;1612;3
83055;2123;3
84009;4551;3
84010;2780;3
84016;727;3
84029;890;3
84033;3042;3
84035;2897;3
84043;4342;3
84050;2982;3
84059;2902;3
84068;1436;3
84075;1695;3
84077;6321;3
85007;2915;3
85009;3505;3
85011;3012;3
85024;1603;3
85026;2553;3
85034;2015;3
85039;2523;3
85045;6003;3
85046;4587;3
85047;1167;3
91005;3987;3
91013;4971;3
91015;1832;3
91030;8614;3
91034;6440;3
91054;2559;3
91059;3863;3
91064;2920;3
91072;2803;3
91103;1819;3
91114;6724;3
91120;3471;3
91141;4993;3
91142;3248;3
91143;1350;3
92003;14044;3
92006;4024;3
92035;8945;3
92045;4429;3
92048;6119;3
92054;4052;3
92087;7700;3
92094;54168;3
92097;2970;3
92101;6939;3
92114;4532;3
92137;13958;3
92138;4692;3
92140;10294;3
92141;5033;3
92142;13777;3
93010;2773;3
93014;7393;3
93018;1674;3
93022;5927;3
93056;5147;3
93088;10382;3
93090;3028;3
25005;3888;3
25014;20614;3
25015;6052;3
25018;6829;3
25023;5418;3
25031;9029;3
25037;7677;3
25043;3073;3
25044;3836;3
25048;7582;3
25050;4125;3
25068;4500;3
25072;15211;3
25084;5101;3
25091;11991;3
25105;13438;3
25107;5839;3
25110;17349;3
25112;19404;3
25117;3898;3
25118;2004;3
25119;9857;3
25120;4901;3
25121;14356;3
25122;4595;3
25123;5784;3
25124;3949;3
