Refnis,Lieu de résidence,Population,Superficie en km²,Density
23064,Pepingen,4567,35.928348,127.114110562501
23077,Sint-Pieters-Leeuw,36052,40.667505999999996,886.506293255357
23081,Steenokkerzeel,12614,23.628381,533.8495261270759
23086,Ternat,16488,24.709958,667.26135269028
23088,Vilvorde,46993,21.573436,2178.2807337690697
23094,Zaventem,36408,27.725206,1313.17329075932
23096,Zemst,23357,43.228585,540.313776173798
23097,Roosdaal,11866,21.919017,541.356393856531
23098,Drogenbos,5851,2.4959860000000003,2344.1637893802304
23099,Kraainem,14051,5.836344,2407.50031183906
23100,Linkebeek,4640,4.189119,1107.63146141229
23101,Rhode-Saint-Genèse,18739,22.750797,823.663452317736
23102,Wemmel,17743,8.773071,2022.4388928346802
23103,Wezembeek-Oppem,14608,6.863938000000001,2128.22435167684
23104,Lennik,9431,31.123901999999998,303.014705546882
23105,Affligem,13556,17.921779,756.398123199711
24000,Arrondissement de Louvain,523282,1169.2441509999999,447.53869373856696
24001,Aarschot,30854,63.044792,489.398077481166
24007,Begijnendijk,10487,17.655136,593.9914594823849
24008,Bekkevoort,6672,37.280829,178.965977392831
24009,Bertem,10276,29.990595,342.640751208837
24011,Bierbeek,10469,38.9651,268.676328304046
24014,Boortmeerbeek,13263,18.772128,706.526186056264
24016,Boutersem,8527,31.140143,273.826616660046
24020,Diest,24677,58.717727999999994,420.26489853285904
24028,Geetbets,6263,35.517686,176.334685767536
24033,Haacht,15425,30.739047,501.80475666665905
24038,Herent,22723,32.735113999999996,694.147574986297
24041,Hoegaarden,6797,34.127788,199.163215617725
24043,Holsbeek,10158,38.777635000000004,261.955119233032
24045,Huldenberg,10080,39.945533,252.34360998512702
24048,Keerbergen,13196,18.5426,711.658559209604
24054,Kortenaken,7970,49.437695000000005,161.213017718565
24055,Kortenberg,20920,34.702377,602.840548934155
24059,Landen,16284,53.301370999999996,305.508089088365
24062,Louvain,103009,57.508498,1791.19614635041
24066,Lubbeek,14911,45.280613,329.302079015582
24086,Oud-Heverlee,11545,31.182503,370.239682170479
24094,Rotselaar,17499,37.220769,470.140743196359
24104,Tervuren,23101,33.619436,687.132288596394
24107,Tirlemont,36282,72.771096,498.577072413476
24109,Tremelo,15338,21.890659,700.664150859963
24130,Léau,8668,46.845169999999996,185.035084726985
24133,Linter,7317,36.87096,198.44886056669
24134,Montaigu-Zichem,23705,51.147532,463.46322242879705
24135,Tielt-Winge,11440,44.5225,256.948733786288
24137,Glabbeek,5426,26.991118,201.029094089396
25000,Arrondissement de Nivelles,412934,1097.197258,376.353474262875
25005,Beauvechain,7232,38.569146,187.507392567105
25014,Braine-l’Alleud,40469,52.321274,773.471227019434
25015,Braine-le-Château,10671,22.749176000000002,469.071934737329
25018,Chaumont-Gistoux,11813,48.32553,244.446361995409
25023,Court-Saint-Etienne,10750,26.875434,399.993540569429
25031,Genappe,15915,90.349676,176.14894379920102
25037,Grez-Doiceau,14067,55.553791000000004,253.214042584421
25043,Incourt,5614,38.908151,144.288532240969
25044,Ittre,7039,35.027729,200.955077618649
25048,Jodoigne,14789,73.732072,200.57757226733003
25050,La Hulpe,7564,15.517204999999999,487.45892059813605
25068,Mont-Saint-Guibert,8361,18.724484,446.527658652703
25072,Nivelles,29018,60.832746,477.012824638888
25084,Perwez (Nivelles),9639,51.170038000000005,188.37195313398
25091,Rixensart,23115,17.560118,1316.33511802142
25105,Tubize,28057,32.771624,856.137004379154
25107,Villers-la-Ville,11118,48.03089,231.476035526304
25110,Waterloo,30477,21.324413,1429.20698450175
25112,Wavre,35444,42.11373,841.6257595800699
25117,Chastre,7742,31.569956,245.23315775289598
25118,Hélécine,3789,16.982539,223.111514715202
25119,Lasne,14313,47.565847000000005,300.90917964732097
25120,Orp-Jauche,9097,50.798029,179.081751380551
25121,Ottignies-Louvain-la-Neuve,31526,33.40437,943.7687344500141
25122,Ramillies,6667,49.077298,135.846924580078
25123,Rebecq,11081,39.261265,282.237467386749
25124,Walhain,7567,38.080727,198.709441655355
30000,Province de Flandre occidentale,1220026,3196.586323,381.665275616585
31000,Arrondissement de Bruges,285637,673.2521,424.26455112431097
31003,Beernem,16131,72.42206,222.73600060534
31004,Blankenberge,20511,19.018114,1078.4981097494701
31005,Bruges,119541,140.987786,847.8819576612119
31006,Damme,11146,90.362647,123.347426951758
31012,Jabbeke,14539,53.860229,269.939438987532
31022,Oostkamp,24200,80.126339,302.023033899003
31033,Torhout,20782,45.324875,458.512020165527
31040,Zedelgem,23391,60.659566000000005,385.61106751077
31042,Zuienkerke,2751,48.896795000000004,56.26135618909171
31043,Knokke-Heist,32645,61.593689000000005,530.0055984631799
32000,Arrondissement de Dixmude,52486,365.02694499999996,143.786645668034
32003,Dixmude,17174,150.737523,113.933144569451
32006,Houthulst,10332,56.021216,184.430127328903
32010,Koekelare,8870,39.439302,224.902560395212
32011,Kortemark,12873,55.431731,232.23160756065903
32030,Lo-Reninge,3237,63.397173,51.059059052995906
33000,Arrondissement d’Ypres,107840,553.715581,194.757026351404
33011,Ypres,35387,131.454987,269.194808105683
33016,Messines,1074,3.5963119999999997,298.63927267712
33021,Poperinge,19947,120.370828,165.712908446555
33029,Wervik,19190,43.76845599999999,438.443613363926
33037,Zonnebeke,12658,68.091976,185.895618596823
33039,Heuvelland,7958,94.789899,83.95409304107389
33040,Langemark-Poelkapelle,8015,53.067524999999996,151.03398924294999
33041,Vleteren,3611,38.575598,93.6083997971982
34000,Arrondissement de Courtrai,299735,406.142552,738.0044236290711
34002,Anzegem,15222,42.35349,359.403676060698
34003,Avelgem,10319,22.118343,466.53585216577903
34009,Deerlijk,12561,16.973221000000002,740.048102832102
34013,Harelbeke,29574,29.397962000000003,1005.98810216844
34022,Courtrai,78944,80.693247,978.322262828264
34023,Kuurne,14033,10.111692,1387.79939104158
34025,Lendelede,5863,13.269029,441.855994134914
34027,Menin,34322,33.163521,1034.9323282048401
34040,Waregem,39488,44.499527,887.380218670639
34041,Wevelgem,31795,39.137955000000005,812.3827624616571
34042,Zwevegem,25558,63.609579000000004,401.794830303782
34043,Espierres-Helchin,2056,10.814986,190.106579888314
35000,Arrondissement d’Ostende,159324,304.604032,523.052826825352
35002,Bredene,18081,14.251961,1268.6675188067102
35005,Gistel,12265,42.840182999999996,286.296629498525
35006,Ichtegem,14355,45.778297,313.57654042919097
35011,Middelkerke,19755,79.038613,249.941126876809
35013,Ostende,72175,40.954239,1762.3328320177102
35014,Oudenburg,9911,35.598795,278.408300056224
35029,De Haan,12782,46.141944,277.014769902196
36000,Arrondissement de Roulers,158103,273.820484,577.396539843966
36006,Hooglede,10142,38.108791000000004,266.13281959010504
36007,Ingelmunster,11454,16.426796,697.27535424437
36008,Izegem,29013,25.634998999999997,1131.77301079668
36010,Ledegem,9770,24.832186999999998,393.440980450091
36011,Lichtervelde,9166,26.158287,350.40520810862
36012,Moorslede,11451,35.447426,323.041791525286
36015,Roulers,65468,60.396808,1083.96456978322
36019,Staden,11639,46.81519,248.615887279321
37000,Arrondissement de Tielt,95182,331.836434,286.834085252977
37002,Dentergem,8632,26.089423999999998,330.862038196014
37007,Meulebeke,11100,29.490399000000004,376.393686636793
37010,Oostrozebeke,8021,16.727779,479.501791600666
37011,Pittem,6834,34.685682,197.026542537062
37012,Ruiselede,5504,30.622828,179.73519623987698
37015,Tielt (Tielt),20701,68.850254,300.66700988495995
37017,Wielsbeke,10013,21.914139,456.919617056367
37018,Wingene,15039,68.537228,219.42819163914803
37020,Ardooie,9338,34.918701,267.421173542509
38000,Arrondissement de Furnes,61719,288.188195,214.162138043163
38002,Alveringem,5054,80.708434,62.620469132135604
38008,La Panne,11089,26.627685,416.44626635773994
38014,Koksijde,21664,50.36055,430.177986539067
38016,Nieuport,11493,33.283749,345.303649537797
38025,Furnes,12419,97.20777700000001,127.75726781613399
40000,Province de Flandre orientale,1561316,3007.053042,519.217977931498
41000,Arrondissement d’Alost,302192,472.936398,638.969640057182
41002,Alost (Alost),90068,78.655641,1145.0926958945001
41011,Denderleeuw,20973,13.864842000000001,1512.67500920674
41018,Grammont,34724,80.054795,433.752906368694
41024,Haaltert,19281,30.519029999999997,631.7697515287999
41027,Herzele,18715,47.904874,390.670060002663
41034,Lede,19160,29.892469000000002,640.9641170824669
41048,Ninove,40093,73.11880000000001,548.326832497251
41063,Sint-Lievens-Houtem,10658,27.052736,393.97124194758
41081,Zottegem,27677,57.461508,481.661567252986
41082,Erpe-Mere,20843,34.411703,605.695103203698
42000,Arrondissement de Termonde,206329,346.568188,595.3489302947801
42003,Berlare,15446,38.228071,404.048637452829
42004,Buggenhout,14887,25.641941000000003,580.5722741503849
42006,Termonde,46916,56.523244000000005,830.0302084572501
42008,Hamme (Termonde),25368,40.533386,625.8544499588561
42010,Laarne,12528,32.580636,384.52288040049297
42011,Lebbeke,19925,27.302612,729.783655864135
42023,Waasmunster,11177,32.267824999999995,346.38219340782996
42025,Wetteren,26748,37.018014,722.567126372582
42026,Wichelen,11960,23.197,515.583911712721
42028,Zele,21374,33.275459,642.335241716726
43000,Arrondissement d’Eeklo,88562,335.51557099999997,263.957943102438
43002,Assenede,14636,87.498549,167.271345265394
43005,Eeklo,22140,30.449078,727.1156124990059
43007,Kaprijke,6587,33.639094,195.813834938599
43010,Maldegem,24615,95.62584999999999,257.40947662164604
43014,Sint-Laureins,7041,74.535454,94.465111864751
43018,Zelzate,13543,13.767546,983.6901943164021
44000,Arrondissement de Gand,574836,949.6601300000001,605.307079702293
44012,De Pinte,11116,17.781434,625.1464308221709
44013,Destelbergen,19097,26.704810000000002,715.114617928381
44019,Evergem,36557,75.37491200000001,485.00222461287905
44020,Gavere,13217,31.597053000000002,418.29850397756996
44021,Gand,268122,157.769192,1699.4572679309902
44034,Lochristi,23073,60.658978,380.3723827988
44040,Melle,11960,15.338686000000001,779.727807192872
44043,Merelbeke,25200,37.001271,681.057685829225
44045,Moerbeke (Gand),6724,37.92923,177.277524484415
44048,Nazareth,12214,35.434929000000004,344.688146546025
44052,Oosterzele,14024,43.56886,321.881270246685
44064,Sint-Martens-Latem,8257,14.451839999999999,571.345932421062
44073,Wachtebeke,7837,34.631479,226.29700568087202
44081,Zulte,16000,32.761114,488.38388096326605
44083,Deinze,44930,128.027343,350.94065804364897
44084,Aalter,29529,119.84903399999999,246.384964604721
44085,Lievegem,26979,80.779965,333.981328167201
45000,Arrondissement d’Audenarde,127443,422.87217,301.37476296914997
45035,Audenarde,32482,68.91912500000001,471.306041682915
45041,Renaix,27075,34.69983,780.263188609281
45059,Brakel,15007,56.962852000000005,263.452398766831
45060,Kluisbergen,6874,30.634376000000003,224.388445189809
45061,Wortegem-Petegem,6552,42.47189,154.26673971890602
45062,Horebeke,2036,11.247328,181.020772222523
45063,Lierde,6805,26.316012,258.58781338145
45064,Maarkedal,6340,46.154427999999996,137.36493495272
45065,Zwalin,8320,33.877658000000004,245.58958591529597
45068,Kruisem,15952,71.588671,222.828553417342
46000,Arrondissement de Saint-Nicolas,261954,479.500585,546.305902838471
46003,Beveren (Saint-Nicolas),50300,152.684483,329.437536884478
46013,Kruibeke,17056,33.527639,508.71461602172496
46014,Lokeren,43064,68.241205,631.055679629338
46020,Sint-Gillis-Waas,19932,55.488586999999995,359.20900274501497
46021,Saint-Nicolas (Saint-Nicolas),81138,84.19810799999999,963.655857920228
46024,Stekene,19273,45.264306,425.788037046232
46025,Tamise,31191,40.096257,777.9030346897471
50000,Province du Hainaut,1356895,3812.827321,355.876331594299
51000,Arrondissement d’Ath,130158,671.8235920000001,193.738358625548
51004,Ath,29946,127.898967,234.137934827886
51008,Beloeil,14289,62.264379,229.489159443797
51009,Bernissart,11932,43.808642,272.366351826199
51012,Brugelette,3823,28.586631999999998,133.733837550363
51014,Chièvres,7045,47.370411999999995,148.721526846758
51017,Ellezelles,5969,45.113291,132.31134035422102
51019,Flobecq,3422,23.276026,147.01822381535402
51065,Frasnes-lez-Anvaing,12100,112.863542,107.209110981117
51067,Enghien,14347,39.396409,364.170247090287
51068,Silly,8420,68.57367599999999,122.78764230169
51069,Lessines,18865,72.671616,259.592410880198
52000,Arrondissement de Charleroi,398559,475.934957,837.4232531946589
52010,Chapelle-lez-Herlaimont,14816,18.206210000000002,813.7882623566361
52011,Charleroi,203785,102.947782,1979.4986938135298
52012,Châtelet,35512,27.345889000000003,1298.62298497591
52015,Courcelles,31299,44.524902000000004,702.954944179327
52018,Farciennes,11335,10.365355,1093.5467236771
52021,Fleurus,22832,59.475766,383.887447536195
52022,Fontaine-l’Evêque,18041,28.660272,629.4776267301299
52025,Gerpinnes,12831,47.684709999999995,269.079962948291
52048,Montigny-le-Tilleul,10116,15.230309,664.201888484337
52055,Pont-à-Celles,17549,56.101532999999996,312.80785143607403
52074,Aiseau-Presles,10903,22.424803999999998,486.202688772664
52075,Les Bons Villers,9540,42.967425000000006,222.028664738462
53000,Arrondissement de Mons,260697,588.437332,443.03273402782696
53014,Boussu,20096,20.076038,1000.9943196959499
53020,Dour,16578,33.619755,493.10293903093594
53028,Frameries,21792,26.09137,835.2186949171321
53039,Hensies,6797,26.412478,257.340488840161
53044,Jurbise,10866,58.17725900000001,186.774010786586
53046,Lens,4678,49.825618999999996,93.8874437264894
53053,Mons,96465,147.558377,653.7412647199279
53065,Quaregnon,18996,11.209192,1694.68058000969
53068,Quiévrain,6852,21.481914000000003,318.96599157784505
53070,Saint-Ghislain,23665,70.585182,335.26866871293197
53082,Colfontaine,20659,13.745634,1502.94995487294
53083,Honnelles,5148,44.270946,116.28393935833199
53084,Quévy,8105,65.383568,123.960809235739
55000,Arrondissement de Soignies,107618,357.60603799999996,300.94010884682
55004,Braine-le-Comte,23133,84.86612699999999,272.58225180937
55035,Le Roeulx,8812,43.412282,202.98403110898403
55040,Soignies,28741,111.266966,258.30667477713
55050,Ecaussinnes,11484,34.860504999999996,329.427241515864
55085,Seneffe,11520,63.769572,180.650420548534
55086,Manage,23928,19.430586,1231.46054370156
56000,Arrondissement de Thuin,92609,785.04303,117.96678202467402
56001,Anderlues,12601,17.195775,732.796282807841
56005,Beaumont,7166,93.476826,76.660711607816
56016,Chimay,9716,198.599526,48.92257396425
56022,Erquelinnes,10043,44.543359,225.465708591936
56029,Froidchapelle,4053,86.543319,46.832037953154995
56044,Lobbes,5919,32.229663,183.65069470319898
56049,Merbes-le-Château,4224,30.531469,138.34905880224798
56051,Momignies,5296,86.007346,61.5761356012543
56078,Thuin,14922,76.654967,194.664489256123
56086,Ham-sur-Heure-Nalinnes,13811,45.705328,302.174836159145
56088,Sivry-Rance,4858,73.555452,66.0454102029038
57000,Arrondissement de Tournai-Mouscron,225041,714.5326829999999,314.948504601853
57003,Antoing,7639,31.330845,243.81723506021
57018,Celles (Tournai),5684,67.485931,84.22496238512291
57027,Estaimpuis,10622,32.081878,331.09034327728597
57062,Pecq,5901,33.148344,178.01794261577598
57064,Péruwelz,17235,61.001665,282.533271837744
57072,Rumes,5298,24.013766999999998,220.62344487643298
57081,Tournai,68710,215.34191299999998,319.073974233711
57093,Brunehaut,8152,46.545224,175.141492497705
57094,Leuze-en-Hainaut,14097,74.46222300000001,189.31747444606899
57095,Mont-de-l’Enclus,3804,27.15795,140.069482416751
57096,Mouscron,59563,40.623323,1466.22667968349
57097,Comines-Warneton,18336,61.339620000000004,298.925881836242
58000,Arrondissement de La Louvière,142213,219.449689,648.043752752824
58001,La Louvière,81382,64.557282,1260.61688904437
58002,Binche,33649,61.221869999999996,549.623851737949
58003,Estinnes,7951,73.293106,108.48223569622
58004,Morlanwelz,19231,20.377430999999998,943.740160376448
60000,Province de Liège,1115518,3857.121055,289.210005103146
61000,Arrondissement de Huy,115702,661.201149,174.987596701832
61003,Amay,14514,27.66271,524.6774448345809
61010,Burdinne,3299,32.616054,101.14650901669499
61012,Clavier,4846,79.500796,60.9553645223879
61019,Ferrières,5116,57.063218,89.65495076005
61024,Hamoir,3806,27.753198,137.137349000285
61028,Héron,5585,38.409931,145.405103695708
61031,Huy,21680,47.636286,455.115245550419
61039,Marchin,5548,30.155248,183.981242667943
61041,Modave,4219,40.42333,104.370421734182
61043,Nandrin,5796,36.128678,160.426573039844
61048,Ouffet,2828,40.238438,70.28105812656051
61063,Verlaine,4312,24.397356,176.740463187896
61068,Villers-Le-Bouillet,6764,32.863747,205.81950074043598
61072,Wanze,14079,44.035194000000004,319.721539094389
61079,Anthisnes,4254,37.316818,113.99685793145599
61080,Engis,6310,27.744353999999998,227.43366091709998
61081,Tinlot,2746,37.255793,73.70665818333269
62000,Arrondissement de Liège,626069,795.91143,786.6063690026419
62003,Ans,28764,23.346246,1232.06103456633
62006,Awans,9231,27.215088,339.186851058501
62009,Aywaille,12783,79.917787,159.95187654533
62011,Bassenge,9052,38.206185999999995,236.92498382329998
62015,Beyne-Heusay,11996,7.285221,1646.6212898689
62022,Chaudfontaine,20572,25.457364,808.096234944042
62026,Comblain-au-Pont,5334,22.631988,235.68411223972
62027,Dalhem,7666,36.10891,212.30217140312502
62032,Esneux,12800,34.131817999999996,375.016648688329
62038,Fléron,16296,13.683741,1190.9024001550501
62051,Herstal,40666,23.358456999999998,1740.95403647595
62060,Juprelle,9740,35.474467,274.56367420544996
62063,Liège,195346,68.65017300000001,2845.5281532939503
62079,Oupeye,25690,36.089777,711.835930712456
62093,Saint-Nicolas (Liège),24352,6.905785,3526.31887613066
62096,Seraing,64035,35.245920999999996,1816.80597876844
62099,Soumagne,17322,27.192941,637.00355176735
62100,Sprimont,15159,74.461242,203.58242211431298
62108,Visé,18060,27.727916,651.329151458768
62118,Grâce-Hollogne,23050,34.17222,674.52451143063
62119,Blegny,13440,26.078509,515.366886964282
62120,Flémalle,26850,36.567684,734.2548683148759
62121,Neupré,9994,31.743629000000002,314.834828746266
62122,Trooz,7871,24.258359999999996,324.465462628141
63000,Arrondissement de Verviers,289918,2009.601593,144.266406341369
63001,Amblève,5599,125.883198,44.477738800375896
63003,Aubel,4200,18.849735,222.81480349723802
63004,Baelen,4518,85.64517599999999,52.7525333125592
63012,Bullange,5510,150.673235,36.5692022209518
63013,Butgenbach,5723,97.039632,58.975903783312
63020,Dison,15249,13.971658,1091.42379522888
63023,Eupen,20082,95.99650700000001,209.195111651302
63035,Herve,17842,56.83973,313.900153994398
63038,Jalhay,8759,106.93537,81.9092878249732
63040,La Calamine,11333,18.039305,628.239280837039
63045,Lierneux,3637,92.340729,39.386736918657
63046,Limbourg,5648,24.643661,229.186726761093
63048,Lontzen,6008,28.708258999999998,209.277755227163
63049,Malmedy,12894,100.366468,128.469201486696
63057,Olne,4082,16.037904,254.522037293651
63058,Pepinster,9280,24.895854,372.752828643677
63061,Raeren,11119,72.81242900000001,152.707445043483
63067,Saint-Vith,10035,147.148977,68.1961927604838
63072,Spa,9890,39.849375,248.184570021487
63073,Stavelot,7247,85.138284,85.12034374571141
63075,Stoumont,3190,108.54019,29.3900351565627
63076,Theux,11972,83.47786599999999,143.415261717399
63079,Verviers,55156,33.007911,1670.9933567137898
63080,Waimes,7542,97.555542,77.3098057309753
63084,Welkenraedt,10515,24.721324,425.34129644512603
63086,Trois-Ponts,2517,68.827593,36.5696356692293
63087,Burg-Reuland,3974,109.84277200000001,36.178984995025395
63088,Plombières,10745,53.170429999999996,202.08600908437302
63089,Thimister-Clermont,5652,28.642478999999998,197.329288432052
64000,Arrondissement de Waremme,83829,390.406883,214.722136443481
64008,Berloz,3336,14.508062,229.941118255491
64015,Braives,6484,44.049786000000005,147.197082864375
64021,Crisnée,3540,16.969199,208.61326453888597
64023,Donceel,3144,23.451181000000002,134.06574278711201
64025,Fexhe-le-Haut-Clocher,3429,19.452362,176.27679353283702
64029,Geer,3559,23.602691,150.78789109258798
64034,Hannut,17026,86.493053,196.848179240476
64047,Lincent,3351,14.732994000000001,227.448677437865
64056,Oreye,4025,19.496529,206.447003976964
64063,Remicourt,6062,22.826154000000002,265.572553308805
64065,Saint-Georges-sur-Meuse,7195,20.927604000000002,343.80428834567
64074,Waremme,15455,30.890074,500.322530790959
64075,Wasseiges,3144,24.480693000000002,128.42773691087902
64076,Faimes,4079,28.526501,142.989846529022
70000,Province du Limbourg,895030,2427.427751,368.71540239716103
71000,Arrondissement de Hasselt,428612,883.8662949999999,484.928549062955
71002,As,8214,22.128714,371.191927375445
71004,Beringen,47895,78.561855,609.6470099897721
71011,Diepenbeek,19423,41.409976,469.041566215832
71016,Genk,67573,87.571593,771.631503837095
71017,Gingelom,8670,56.342056,153.881498396154
71020,Halen,9557,36.596346,261.14629039740703
71022,Hasselt,80351,102.68793,782.477551159128
71024,Herck-la-Ville,12817,43.028801,297.870256714799
71034,Bourg-Léopold,16407,22.597244999999997,726.061960207981
71037,Lummen,15366,53.699452,286.148171493445
71045,Nieuwerkerken (Hasselt),7190,22.509333,319.423058870736
71053,Saint-Trond,41353,107.118093,386.050561971823
71057,Tessenderlo,18838,51.641634999999994,364.783183181555
71066,Zonhoven,21653,39.674364999999995,545.768029305573
71067,Zutendaal,7345,32.112467,228.72736622819997
71069,Ham,11337,32.787844,345.768389040768
71070,Heusden-Zolder,34623,53.398590000000006,648.387906871698
72000,Arrondissement de Maaseik,257393,910.444553,282.71134046754
72003,Bocholt,13743,59.288818,231.797503535996
72004,Bree,16695,64.982978,256.91343354562804
