refnis,score_moyen_base,frequence_1ere_place_base,score_moyen_mod,frequence_1ere_place_mod,delta_score,delta_freq
62063,3.556554454646291,0.0,3.570827177746204,0.0,0.014272723099912898,0.0
53083,2.258819603387078,0.0,2.089670160437658,0.0,-0.1691494429494198,0.0
45062,2.041659359435997,0.0,2.0510473283103465,0.0,0.00938796887434945,0.0
44013,2.8511045147565177,0.0,2.931575702769445,0.0,0.08047118801292719,0.0
36019,2.2958612441163253,0.0,2.2486912495379934,0.0,-0.04716999457833193,0.0
25119,2.688981937215051,0.0,2.505386568617628,0.0,-0.18359536859742276,0.0
24016,2.664547903202753,0.0,2.8161275140302773,0.0,0.15157961082752447,0.0
23103,3.2537842606227803,0.0,3.539597331981782,0.0,0.2858130713590019,0.0
23052,2.5398418901973856,0.0,2.5492479086372737,0.0,0.009406018439888086,0.0
21017,3.3366033598548834,0.0,3.414309391211524,0.0,0.07770603135664045,0.0
11055,2.3476552671140083,0.0,2.1991671107134647,0.0,-0.14848815640054358,0.0
82037,2.3103908141475733,0.0,2.0405145244449074,0.0,-0.26987628970266586,0.0
82003,2.223113917157184,0.0,1.9312820452781208,0.0,-0.29183187187906334,0.0
81001,3.120269964784076,0.0,2.9204420510375253,0.0,-0.19982791374655084,0.0
11052,3.222262297783649,0.0,3.273836303898738,0.0,0.05157400611508889,0.0
11004,3.0053132369114186,0.0,3.234981126736709,0.0,0.2296678898252904,0.0
62079,3.410446867961729,0.0,3.276878699600563,0.0,-0.1335681683611658,0.0
61012,2.0358656071783408,0.0,1.815893934432506,0.0,-0.21997167274583473,0.0
31043,3.351746540300261,0.0,3.2047367775304494,0.0,-0.14700976276981148,0.0
73107,2.6018571517943303,0.0,2.3968110319411244,0.0,-0.20504611985320587,0.0
63076,2.585572828669965,0.0,2.264165763759041,0.0,-0.32140706491092397,0.0
63035,3.0315980417851844,0.0,2.81146588545494,0.0,-0.2201321563302443,0.0
63012,1.999351001825607,0.0,1.6578182274809472,0.0,-0.3415327743446599,0.0
56016,2.036346122524612,0.0,1.8160662015736493,0.0,-0.2202799209509625,0.0
42011,2.9185386048042647,0.0,3.014003780292628,0.0,0.09546517548836331,0.0
37017,2.793082744185205,0.0,2.7465472955826526,0.0,-0.04653544860255243,0.0
23077,3.0378723093890927,0.0,3.046791546473923,0.0,0.008919237084830112,0.0
23064,1.8558060754656729,0.0,1.9354029038805265,0.0,0.0795968284148536,0.0
71053,3.224265180214835,0.0,3.1617189505198846,0.0,-0.06254622969495038,0.0
21006,3.9079206928611536,0.0,4.228545212924166,0.0,0.32062452006301223,0.0
13004,2.3838414686901523,0.0,2.3577274930141363,0.0,-0.026113975676016032,0.0
63073,1.9011495386525203,0.0,1.651694721876427,0.0,-0.24945481677609327,0.0
11018,3.13111925084405,0.0,3.3900358016791454,0.0,0.25891655083509546,0.0
11009,2.7261291694837206,0.0,2.664291485200605,0.0,-0.061837684283115646,0.0
91054,1.968583628700271,0.0,1.7341227993996071,0.0,-0.2344608293006638,0.0
85007,2.1861187964581994,0.0,1.7730340711854158,0.0,-0.4130847252727836,0.0
56029,1.88001729724079,0.0,1.6250304612996649,0.0,-0.25498683594112515,0.0
55085,2.601001712641215,0.0,2.3963503251414693,0.0,-0.20465138749974576,0.0
46003,3.0102677586295408,0.0,2.8978603771360043,0.0,-0.11240738149353646,0.0
41027,2.508922405502373,0.0,2.6248955380656485,0.0,0.11597313256327535,0.0
37018,2.171260822650371,0.0,1.981695471627651,0.0,-0.1895653510227202,0.0
33041,1.6115435456383007,0.0,1.6361040351380227,0.0,0.024560489499722005,0.0
23104,2.5401702939739543,0.0,2.548763233288155,0.0,0.008592939314200798,0.0
23024,2.384275464006143,0.0,2.357126645147668,0.0,-0.0271488188584752,0.0
13003,2.570609263322725,0.0,2.4729433367186204,0.0,-0.09766592660410467,0.0
11024,3.410446867961729,0.0,3.276878699600563,0.0,-0.1335681683611658,0.0
92114,2.414714433354907,0.0,2.2813067485781504,0.0,-0.13340768477675669,0.0
58002,3.410552459501134,0.0,3.2767625270832355,0.0,-0.1337899324178986,0.0
53065,3.1928061086644184,0.0,3.2380836003321285,0.0,0.04527749166771011,0.0
73006,3.037497385582256,0.0,3.0465031068154067,0.0,0.009005721233150688,0.0
24066,2.912744852546614,0.0,2.778850386414802,0.0,-0.133894466131812,0.0
72037,2.7256486541374536,0.0,2.664119218059441,0.0,-0.061529436078012534,0.0
85047,2.0931840501662493,0.0,2.0011185773099527,0.0,-0.09206547285629663,0.0
52015,3.2236790733291603,0.0,3.1616628558960955,0.0,-0.062016217433064735,0.0
52011,3.902173460633767,0.0,3.994164934053976,0.0,0.09199147342020897,0.0
51068,2.259300118733333,0.0,2.0898424275788106,0.0,-0.16945769115452247,0.0
51008,2.726082649453452,0.0,2.663518370192968,0.0,-0.06256427926048369,0.0
42026,3.0741641025046715,0.0,3.2052357562572515,0.0,0.13107165375258,0.0
41082,3.03739179404285,0.0,3.0466192793327838,0.0,0.009227485289933668,0.0
38016,2.6676516540594126,0.0,2.591781060298703,0.0,-0.07587059376070959,0.0
31022,2.7261291694837206,0.0,2.664291485200605,0.0,-0.061837684283115646,0.0
31003,2.570714854862139,0.0,2.472827164201266,0.0,-0.097887690660873,0.0
92048,2.5335676225934955,0.0,2.3139222476182866,0.0,-0.21964537497520897,0.0
57027,2.7934111479617765,0.0,2.746062620233503,0.0,-0.04734852772827347,0.0
34027,3.3800544186432564,0.0,3.353471711177713,0.0,-0.026582707465543365,0.0
