,poids_moyen,poids_ecart_type
score_dens,0.06868420655775316,0.01283161874044707
Distance T,0.1716766332652119,0.023893241699749122
score_pent,0.0741349362317651,0.01809897598520979
nb_poi_sco,0.20550276120678979,0.023645399441594547
score_bus_score_bus,0.17119607433887368,0.023780233027954956
score_tram,0.10282908351220256,0.02417727349441927
score_imat_score_imat,0.20597630488740387,0.023781644354568553
