refnis,moyenne_evitees,ci_2.5,ci_97.5
62063,26302.596905093804,21990.36644090258,30697.679101110676
53083,0.0611404372400496,0.0,0.0
45062,0.0,0.0,0.0
44013,1073.208774617689,726.9838384586964,1424.5609941063165
36019,0.00024754664367071657,0.0,0.0
25119,594.682831734374,148.52048580851445,1053.367355302272
24016,222.4608064927095,19.433578056919373,431.1798272107779
23103,1616.6889991006828,1343.7436130328654,1884.5461431898427
23052,123.76139902494683,0.0,381.6723288293203
21017,2667.166181036787,2289.739349030498,3045.015996653702
11055,0.09175066167941151,0.0,0.0
82037,0.32786305509839997,0.0,0.0
82003,0.0,0.0,0.0
81001,3144.49725841584,2470.331492135108,3827.498867747792
11052,1766.7255082211198,1460.3869377380734,2065.7318574278747
11004,1049.6288563722505,844.7394038374676,1252.2462494150839
62079,3908.3981787296234,3398.819047045426,4438.810005885364
61012,0.0,0.0,0.0
31043,5090.575890233462,4289.016548496486,5888.922779508022
73107,701.6770258430344,0.0,1648.9986155522
63076,205.64613911683938,0.0,556.5018175367995
63035,1792.8271499826126,1333.14185738916,2267.8280395157713
63012,0.0,0.0,0.0
56016,0.0,0.0,0.0
42011,1322.4956846116224,912.0811598818813,1737.4042532907135
37017,524.432854130961,292.31090884367245,777.7097034480911
23077,2758.5417587454317,2118.1888197822755,3404.6124926111543
23064,0.0,0.0,0.0
71053,5049.80760030067,4248.43164642954,5851.669072673729
21006,6391.263193608284,5669.438820590974,7088.599749787065
13004,0.5231661936836827,0.0,0.0
63073,0.0,0.0,0.0
11018,1058.5708943383422,791.1419406342326,1335.9173406596115
11009,1195.1752945347007,684.1234662876379,1721.486979616205
91054,0.0,0.0,0.0
85007,0.0018001203312400231,0.0,0.0
56029,0.0,0.0,0.0
55085,209.4637653625053,0.0,516.7455134231177
46003,4191.101521339819,3339.5401667959127,5062.187065487429
41027,73.30522808696271,0.0,327.2602138358217
37018,0.0,0.0,0.0
33041,0.0,0.0,0.0
23104,68.180766910731,0.0,209.72163885008413
23024,0.25345837541306987,0.0,0.0
13003,282.57458403029267,0.0,690.6653862909073
11024,3552.6661721368864,3089.4675776298905,4034.8013255848655
92114,3.376243307738638,0.0,52.607020132040844
58002,5037.818845435195,4368.100245126922,5716.076988511494
53065,1963.3647757736485,1593.7312874483332,2349.4383157074094
73006,3073.1852758995874,2475.3916883300994,3692.3396369627203
24066,1101.4179414404812,801.6448626724117,1420.623427791837
72037,586.1067485213384,286.6934846708996,902.8251985630425
85047,0.0,0.0,0.0
52015,3604.5401724385492,3043.4529907639403,4201.216140135656
52011,39535.18228141126,36247.26358453106,42780.210228049495
51068,0.0021214411110794334,0.0,0.0
51008,559.8003231036455,268.55191308613377,866.221696557289
42026,1105.0911045713376,812.7401317943596,1411.9249671478071
41082,1840.5182497704916,1481.7378638181212,2210.730119597057
38016,320.04896776261126,95.98555612083058,545.7965094586085
31022,919.0001903414086,526.0396517651648,1323.6944146786934
31003,189.99280456562488,0.0,456.37132249227574
92048,96.26582483893338,0.0,349.6655813102356
57027,538.2993434386891,299.46805953634924,798.9139320645965
34027,4708.626229531719,3825.5227759007994,5591.168004968641
73009,0.0,0.0,0.0
25091,4303.6527992127685,3767.1621110830038,4860.143081048045
25068,450.915681390607,299.8537747485607,607.2731582067021
24086,0.0,0.0,0.0
21005,6292.99901123976,5560.6769973634755,7001.882761093192
92140,2159.004884797433,1794.1408793460766,2533.7924695601873
63061,83.11659825452108,0.0,280.27325215576883
63045,0.001446981287678645,0.0,0.0
53070,2455.688741219556,1950.1859334207943,2985.5309471706964
53039,158.258074136008,4.022111708652775,321.1286193612366
52010,1727.1562393327288,1458.304962809626,2013.0602856651549
51019,0.0008618509406768352,0.0,0.0
42025,3131.3732255837867,2536.0466108009846,3721.053981410601
37012,166.4954508010977,32.687881877543106,309.03022610102994
25107,478.4425311374948,259.98051962003586,708.7128766071934
24134,2984.460807652293,2510.843728383566,3458.364830712732
12035,676.7528772307601,342.11541067708714,1021.3673600980635
83013,0.04011762840182922,0.0,0.0
82036,0.0,0.0,0.0
62118,1445.9329818589172,955.5965324603858,1953.2716965046309
58001,14665.785705380034,12821.7783542986,16545.803174181903
57096,9421.08062590856,8171.6980015666695,10705.162151903776
44085,1432.562021047665,845.5600402362967,2054.44633839783
25105,2972.918507278893,2484.8923532633935,3477.320832054739
64075,0.0,0.0,0.0
64056,56.769154172665615,0.0,169.7468473959821
64029,51.78012065016781,0.0,154.82901526797303
11053,7.935780858214163,0.0,122.65494045585915
93090,0.0,0.0,0.0
91064,0.0,0.0,0.0
84029,0.0,0.0,0.0
63023,760.4620608698567,325.32269914717705,1213.037160769147
42003,741.3912858676193,450.50257917008196,1049.1866868917687
37020,27.379230154053758,0.0,177.4061875575919
33039,0.0,0.0,0.0
32011,17.24831536310988,0.0,162.51570551032904
25122,0.0,0.0,0.0
25043,0.2539015867034288,0.0,0.0
23081,843.8563222423012,642.0657958133959,1053.4338156935896
23025,3148.1098147207035,2243.925542843194,4060.240685152246
13036,0.0,0.0,0.0
13014,0.0,0.0,0.0
13012,70.75622773773844,0.0,222.613021997303
82032,16.983979308049708,0.0,124.09852496201906
72041,392.80252492353117,0.0,933.688298387633
64015,0.0,0.0,0.0
24059,1008.7876822172867,699.9822539840154,1327.2895369525452
61063,67.52833252673932,0.0,201.91813183365824
57018,3.1273402243665314,0.0,50.75527780844141
45035,3907.737895698463,3287.6019555772423,4528.249548955542
23047,43806.40091717786,39030.70444431939,48799.871687426
73001,1633.6368991647903,1295.9157985687016,1983.9023420269068
