critere,importance
Densiité,0.5803197987671372
Points intérêt,0.14172843982582173
Bus,0.09293223537880366
Train,0.09049344727499613
Nombre immatriculation,0.05955248446974073
Tram,0.020668164236249148
Relief,0.014305430047251336
